x,y
442,27.6007
442.5,27.1824
443,26.7614
443.5,26.3377
444,25.9114
444.5,25.4825
445,25.051
445.5,24.6171
446,24.1807
446.5,23.7418
447,23.3006
447.5,22.857
448,22.4112
448.5,21.9631
449,21.5129
449.5,21.0605
450,20.6059
450.5,20.1493
451,19.6907
451.5,19.2302
452,18.7677
452.5,18.3033
453,17.8371
453.5,17.3691
454,16.8994
454.5,16.428
455,15.9549
455.5,15.4803
456,15.0041
456.5,14.5264
457,14.0472
457.5,13.5667
458,13.0847
458.5,12.6015
459,12.117
459.5,11.6314
460,11.1445
460.5,10.6565
461,10.1675
461.5,9.67743
462,9.18641
462.5,8.69447
463,8.20167
463.5,7.70804
464,7.21364
464.5,6.71851
465,6.22272
465.5,5.72631
466,5.22932
466.5,4.73181
467,4.23382
467.5,3.73541
468,3.23663
468.5,2.73753
469,2.23815
469.5,1.73855
470,1.23877
470.5,0.738871
471,0.238897
471.5,-0.261101
472,-0.761073
472.5,-1.26097
473,-1.76074
473.5,-2.26033
474,-2.7597
474.5,-3.25879
475,-3.75756
475.5,-4.25595
476,-4.75391
476.5,-5.2514
477,-5.74836
477.5,-6.24475
478,-6.74052
478.5,-7.23561
479,-7.72997
479.5,-8.22357
480,-8.71634
480.5,-9.20824
481,-9.69922
481.5,-10.1892
482,-10.6782
482.5,-11.1661
483,-11.6529
483.5,-12.1386
484,-12.623
484.5,-13.1062
485,-13.588
485.5,-14.0685
486,-14.5476
486.5,-15.0252
487,-15.5014
487.5,-15.976
488,-16.4489
488.5,-16.9203
489,-17.3899
489.5,-17.8578
490,-18.324
490.5,-18.7882
491,-19.2507
491.5,-19.7111
492,-20.1697
492.5,-20.6262
493,-21.0806
493.5,-21.5329
494,-21.9831
494.5,-22.4311
495,-22.8768
495.5,-23.3202
496,-23.7614
496.5,-24.2001
497,-24.6364
497.5,-25.0703
498,-25.5016
498.5,-25.9304
499,-26.3566
499.5,-26.7802
500,-27.2011
500.5,-27.6192
501,-28.0346
501.5,-28.4472
502,-28.857
502.5,-29.2639
503,-29.6678
503.5,-30.0688
504,-30.4668
504.5,-30.8617
505,-31.2535
505.5,-31.6422
506,-32.0278
506.5,-32.4101
507,-32.7893
507.5,-33.1651
508,-33.5376
508.5,-33.9068
509,-34.2725
509.5,-34.6349
510,-34.9937
510.5,-35.3491
511,-35.701
511.5,-36.0492
512,-36.3939
512.5,-36.7349
513,-37.0723
513.5,-37.4059
514,-37.7358
514.5,-38.062
515,-38.3843
515.5,-38.7028
516,-39.0174
516.5,-39.3281
517,-39.6349
517.5,-39.9377
518,-40.2365
518.5,-40.5313
519,-40.8221
519.5,-41.1088
520,-41.3913
520.5,-41.6697
521,-41.944
521.5,-42.214
522,-42.4799
522.5,-42.7415
523,-42.9988
523.5,-43.2518
524,-43.5005
524.5,-43.7448
525,-43.9848
525.5,-44.2204
526,-44.4515
526.5,-44.6782
527,-44.9004
527.5,-45.1182
528,-45.3314
528.5,-45.5401
529,-45.7442
529.5,-45.9438
530,-46.1388
530.5,-46.3291
531,-46.5149
531.5,-46.6959
532,-46.8723
532.5,-47.0441
533,-47.2111
533.5,-47.3734
534,-47.5309
534.5,-47.6837
535,-47.8318
535.5,-47.975
536,-48.1135
536.5,-48.2471
537,-48.3759
537.5,-48.4999
538,-48.619
538.5,-48.7333
539,-48.8427
539.5,-48.9472
540,-49.0468
540.5,-49.1415
541,-49.2313
541.5,-49.3162
542,-49.3961
542.5,-49.4711
543,-49.5412
543.5,-49.6063
544,-49.6664
544.5,-49.7216
545,-49.7718
545.5,-49.817
546,-49.8573
546.5,-49.8925
547,-49.9228
547.5,-49.9481
548,-49.9684
548.5,-49.9836
549,-49.9939
549.5,-49.9992
550,-49.9995
550.5,-49.9948
551,-49.9851
551.5,-49.9704
552,-49.9507
552.5,-49.926
553,-49.8963
553.5,-49.8616
554,-49.8219
554.5,-49.7773
555,-49.7276
555.5,-49.673
556,-49.6135
556.5,-49.5489
557,-49.4794
557.5,-49.405
558,-49.3256
558.5,-49.2413
559,-49.1521
559.5,-49.0579
560,-48.9589
560.5,-48.8549
561,-48.7461
561.5,-48.6324
562,-48.5138
562.5,-48.3904
563,-48.2621
563.5,-48.129
564,-47.9911
564.5,-47.8484
565,-47.701
565.5,-47.5487
566,-47.3917
566.5,-47.2299
567,-47.0635
567.5,-46.8923
568,-46.7164
568.5,-46.5359
569,-46.3507
569.5,-46.1609
570,-45.9664
570.5,-45.7674
571,-45.5638
571.5,-45.3556
572,-45.1429
572.5,-44.9257
573,-44.7039
573.5,-44.4778
574,-44.2471
574.5,-44.0121
575,-43.7726
575.5,-43.5288
576,-43.2806
576.5,-43.0281
577,-42.7712
577.5,-42.5101
578,-42.2448
578.5,-41.9752
579,-41.7015
579.5,-41.4235
580,-41.1414
580.5,-40.8552
581,-40.5649
581.5,-40.2706
582,-39.9722
582.5,-39.6699
583,-39.3636
583.5,-39.0533
584,-38.7391
584.5,-38.4211
585,-38.0992
585.5,-37.7735
586,-37.444
586.5,-37.1108
587,-36.7739
587.5,-36.4332
588,-36.089
588.5,-35.7411
589,-35.3897
589.5,-35.0347
590,-34.6763
590.5,-34.3143
591,-33.9489
591.5,-33.5802
592,-33.208
592.5,-32.8326
593,-32.4539
593.5,-32.0719
594,-31.6867
594.5,-31.2983
595,-30.9069
595.5,-30.5123
596,-30.1147
596.5,-29.714
597,-29.3104
597.5,-28.9039
598,-28.4944
598.5,-28.0822
599,-27.6671
599.5,-27.2492
600,-26.8286
600.5,-26.4054
601,-25.9795
601.5,-25.551
602,-25.1199
602.5,-24.6864
603,-24.2503
603.5,-23.8119
604,-23.371
604.5,-22.9278
605,-22.4824
605.5,-22.0347
606,-21.5847
606.5,-21.1326
607,-20.6785
607.5,-20.2222
608,-19.7639
608.5,-19.3036
609,-18.8415
609.5,-18.3774
610,-17.9115
610.5,-17.4438
611,-16.9743
611.5,-16.5032
612,-16.0304
612.5,-15.556
613,-15.08
613.5,-14.6025
614,-14.1236
614.5,-13.6433
615,-13.1616
615.5,-12.6786
616,-12.1943
616.5,-11.7088
617,-11.2221
617.5,-10.7343
618,-10.2454
618.5,-9.75555
619,-9.26468
619.5,-8.77288
620,-8.28021
620.5,-7.78671
621,-7.29243
621.5,-6.79742
622,-6.30173
622.5,-5.80541
623,-5.30851
623.5,-4.81108
624,-4.31316
624.5,-3.81482
625,-3.31609
625.5,-2.81704
626,-2.3177
626.5,-1.81813
627,-1.31838
627.5,-0.818494
628,-0.318529
628.5,0.181469
629,0.681448
629.5,1.18136
630,1.68115
630.5,2.18078
631,2.68018
631.5,3.17932
632,3.67814
632.5,4.1766
633,4.67463
633.5,5.1722
634,5.66925
634.5,6.16573
635,6.6616
635.5,7.1568
636,7.65129
636.5,8.14501
637,8.63791
637.5,9.12996
638,9.62109
638.5,10.1113
639,10.6004
639.5,11.0885
640,11.5755
640.5,12.0613
641,12.5459
641.5,13.0293
642,13.5114
642.5,13.9921
643,14.4714
643.5,14.9493
644,15.4257
644.5,15.9005
645,16.3737
645.5,16.8453
646,17.3152
646.5,17.7834
647,18.2498
647.5,18.7144
648,19.1771
648.5,19.6379
649,20.0968
649.5,20.5536
650,21.0084
650.5,21.461
651,21.9115
651.5,22.3599
652,22.806
652.5,23.2498
653,23.6913
653.5,24.1304
654,24.5671
654.5,25.0013
655,25.4331
655.5,25.8623
656,26.2889
656.5,26.7129
657,27.1342
657.5,27.5528
658,27.9687
658.5,28.3817
659,28.7919
659.5,29.1993
660,29.6037
660.5,30.0051
661,30.4036
661.5,30.799
662,31.1913
662.5,31.5805
663,31.9666
663.5,32.3495
664,32.7291
664.5,33.1054
665,33.4785
665.5,33.8482
666,34.2145
666.5,34.5774
667,34.9368
667.5,35.2927
668,35.6452
668.5,35.994
669,36.3392
669.5,36.6809
670,37.0188
670.5,37.353
671,37.6835
671.5,38.0103
672,38.3332
672.5,38.6523
673,38.9676
673.5,39.2789
674,39.5863
674.5,39.8898
675,40.1892
675.5,40.4847
676,40.7761
676.5,41.0634
677,41.3466
677.5,41.6257
678,41.9006
678.5,42.1713
679,42.4378
679.5,42.7001
680,42.9581
680.5,43.2118
681,43.4612
681.5,43.7062
682,43.9469
682.5,44.1831
683,44.415
683.5,44.6424
684,44.8653
684.5,45.0838
685,45.2977
685.5,45.5072
686,45.712
686.5,45.9123
687,46.108
687.5,46.2991
688,46.4856
688.5,46.6674
689,46.8446
689.5,47.017
690,47.1848
690.5,47.3478
691,47.5061
691.5,47.6597
692,47.8085
692.5,47.9525
693,48.0917
693.5,48.2261
694,48.3557
694.5,48.4805
695,48.6004
695.5,48.7154
696,48.8256
696.5,48.9309
697,49.0313
697.5,49.1268
698,49.2173
698.5,49.303
699,49.3837
699.5,49.4595
700,49.5304
700.5,49.5963
701,49.6572
701.5,49.7132
702,49.7642
702.5,49.8102
703,49.8512
703.5,49.8873
704,49.9183
704.5,49.9444
705,49.9655
705.5,49.9816
706,49.9926
706.5,49.9987
707,49.9998
707.5,49.9959
708,49.987
708.5,49.9731
709,49.9541
709.5,49.9302
710,49.9013
710.5,49.8674
711,49.8286
711.5,49.7847
712,49.7359
712.5,49.6821
713,49.6233
713.5,49.5595
714,49.4908
714.5,49.4172
715,49.3386
715.5,49.2551
716,49.1666
716.5,49.0733
717,48.975
717.5,48.8718
718,48.7638
718.5,48.6508
719,48.533
719.5,48.4104
720,48.2829
720.5,48.1506
721,48.0134
721.5,47.8715
722,47.7248
722.5,47.5733
723,47.417
723.5,47.256
724,47.0903
724.5,46.9199
725,46.7448
725.5,46.565
726,46.3805
726.5,46.1914
727,45.9977
727.5,45.7994
728,45.5965
728.5,45.3891
729,45.1771
729.5,44.9606
730,44.7396
730.5,44.5141
731,44.2842
731.5,44.0498
732,43.811
732.5,43.5679
733,43.3204
733.5,43.0686
734,42.8124
734.5,42.552
735,42.2873
735.5,42.0184
736,41.7453
736.5,41.4681
737,41.1866
737.5,40.9011
738,40.6115
738.5,40.3178
739,40.02
739.5,39.7183
740,39.4126
740.5,39.103
741,38.7894
741.5,38.472
742,38.1507
742.5,37.8256
743,37.4967
743.5,37.1641
744,36.8278
744.5,36.4877
745,36.1441
745.5,35.7968
746,35.4459
746.5,35.0915
747,34.7336
747.5,34.3722
748,34.0074
748.5,33.6391
749,33.2675
749.5,32.8926
750,32.5144
750.5,32.1329
751,31.7483
751.5,31.3604
752,30.9694
752.5,30.5753
753,30.1782
753.5,29.778
754,29.3749
754.5,28.9688
755,28.5598
755.5,28.148
756,27.7334
756.5,27.316
757,26.8958
757.5,26.473
758,26.0475
758.5,25.6194
759,25.1887
759.5,24.7556
760,24.3199
760.5,23.8819
761,23.4414
761.5,22.9986
762,22.5535
762.5,22.1061
763,21.6565
763.5,21.2048
764,20.7509
764.5,20.295
765,19.837
765.5,19.3771
766,18.9152
766.5,18.4514
767,17.9858
767.5,17.5184
768,17.0492
768.5,16.5783
769,16.1058
769.5,15.6316
770,15.1559
770.5,14.6787
771,14.2
771.5,13.7199
772,13.2384
772.5,12.7556
773,12.2715
773.5,11.7862
774,11.2997
774.5,10.8121
775,10.3234
775.5,9.83364
776,9.34292
776.5,8.85127
777,8.35873
777.5,7.86536
778,7.3712
778.5,6.8763
779,6.38072
779.5,5.88449
780,5.38768
780.5,4.89033
781,4.39249
781.5,3.89422
782,3.39555
782.5,2.89654
783,2.39724
783.5,1.89771
784,1.39798
784.5,0.898115
785,0.398159
785.5,-0.101837
786,-0.601822
786.5,-1.10175
787,-1.60156
787.5,-2.10122
788,-2.60066
788.5,-3.09985
789,-3.59872
789.5,-4.09724
790,-4.59534
790.5,-5.09299
791,-5.59012
791.5,-6.0867
792,-6.58267
792.5,-7.07798
793,-7.57258
793.5,-8.06643
794,-8.55947
794.5,-9.05165
795,-9.54293
795.5,-10.0333
796,-10.5226
796.5,-11.0108
797,-11.498
797.5,-11.984
798,-12.4688
798.5,-12.9524
799,-13.4347
799.5,-13.9156
800,-14.3952
800.5,-14.8733
801,-15.3499
801.5,-15.825
802,-16.2985
802.5,-16.7703
803,-17.2405
803.5,-17.709
804,-18.1757
804.5,-18.6406
805,-19.1036
805.5,-19.5647
806,-20.0238
806.5,-20.481
807,-20.9361
807.5,-21.3891
808,-21.8399
808.5,-22.2886
809,-22.7351
809.5,-23.1792
810,-23.6211
810.5,-24.0606
811,-24.4977
811.5,-24.9323
812,-25.3645
812.5,-25.7941
813,-26.2211
813.5,-26.6455
814,-27.0673
814.5,-27.4863
815,-27.9026
815.5,-28.3161
816,-28.7268
816.5,-29.1346
817,-29.5395
817.5,-29.9414
818,-30.3403
818.5,-30.7362
819,-31.1291
819.5,-31.5188
820,-31.9053
820.5,-32.2887
821,-32.6688
821.5,-33.0457
822,-33.4193
822.5,-33.7895
823,-34.1564
823.5,-34.5198
824,-34.8798
824.5,-35.2363
825,-35.5893
825.5,-35.9387
826,-36.2845
826.5,-36.6267
827,-36.9652
827.5,-37.3001
828,-37.6312
828.5,-37.9585
829,-38.282
829.5,-38.6017
830,-38.9176
830.5,-39.2296
831,-39.5376
831.5,-39.8417
832,-40.1418
832.5,-40.4379
833,-40.7299
833.5,-41.0179
834,-41.3018
834.5,-41.5815
835,-41.8571
835.5,-42.1285
836,-42.3957
836.5,-42.6586
837,-42.9173
